[季調系列],,,,,,需    要    者    別    受    注    額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：１００万円、％）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,受注額,,外需,官公需,民需,,,製造業,非製造業,,,代理店,内需,官          公          需          内          訳,,,,,製          造          業          内          訳          ,,,,,,,,,,,,,,,,,非          製          造          業          内           訳,,,,,,,,,,,,販売額,,受注残高,
,,,,合計,（船舶を除く）,,,,（船舶を除く）,（船舶・電力,,,（船舶を除く）,（船舶・電力,,,運輸業,防衛省,国家公務,地方公務,その他,食品製造業,繊維工業,パルプ・紙・紙加工品製造業,化学工業,石油製品・石炭製品製造業,窯業・土石製品,鉄鋼業,非鉄金属製造業,金属製品製造業,はん用・生産用機械器具製造業,業務用機械器具製造業,電気機械器具製造業,情報通信機械器具製造業,自動車・同付属品製造業,造船業,その他輸送用機械器具製造業,その他製造業(現行分類),農林漁業,鉱業・採石業・砂利採取業,建設業,電力業,運輸業・郵便業,通信業,卸売業・小売業,金融業・保険業,不動産業,情報サービス業,リース業,その他非製造業,総計,（船舶を除く）,総計,（船舶を除く）
,,,,,,,,,,を除く）,,,,を除く）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          6月,,"2,643,438","2,592,295","1,176,885","340,594","1,010,633","1,024,619","853,997","429,607","590,649","587,950","432,079","124,860","1,368,903","8,162","214,363","42,200","101,974","42,483","10,394","3,365","3,436","34,873","14,308","4,521","12,034","22,309","10,243","98,738","12,132","71,786","20,588","47,018","11,268","18,089","41,163","32,017","1,373","39,146","157,481","80,831","40,028","31,826","80,003","6,997","46,696","13,679","63,439","2,539,478","2,446,988","35,106,770","32,150,911"
,,          7月,,"2,901,434","2,765,890","1,195,696","343,143","1,279,013","1,255,154","844,879","406,739","880,478","866,586","437,635","115,011","1,586,401","6,668","144,311","20,378","95,283","84,923","12,335","2,426","13,908","26,171","6,083","5,307","12,632","17,465","8,580","101,559","10,679","54,668","17,259","36,976","9,032","16,600","49,456","34,734","1,756","50,569","531,726","77,718","31,612","36,056","73,641","6,229","43,949","8,392","73,988","2,549,338","2,403,865","35,537,161","32,570,306"
,,          8月,,"2,495,685","2,331,681","1,111,258","266,650","976,055","950,373","840,698","415,652","555,728","528,523","420,950","126,637","1,232,076","3,310","176,197","26,314","86,450","31,540","7,423","1,823","11,022","80,117","3,949","5,086","13,210","8,926","8,718","106,538","12,929","53,764","14,350","42,534","13,770","14,513","43,419","35,884","2,137","51,359","109,741","81,799","36,175","42,075","62,039","7,876","46,370","17,891","73,544","2,423,247","2,332,886","35,649,963","32,682,525"
,前期(月)比,2021年 7- 9月,,3.9 ,2.9 ,8.9 ,10.9 ,-0.7 ,-0.8 ,1.4 ,6.5 ,-5.2 ,-5.3 ,-1.8 ,1.7 ,-0.6 ,-36.7 ,8.9 ,29.9 ,4.8 ,5.1 ,-8.0 ,12.0 ,3.3 ,60.8 ,-36.9 ,-0.9 ,23.3 ,19.8 ,17.1 ,3.9 ,-10.6 ,4.0 ,36.8 ,-3.1 ,20.2 ,-3.7 ,7.1 ,-9.6 ,-25.0 ,-8.0 ,-11.8 ,-6.7 ,-0.6 ,18.9 ,-5.8 ,-1.0 ,0.8 ,6.9 ,7.3 ,-1.2 ,-2.7 ,2.9 ,2.8 
,,        10- 12月,,8.9 ,8.4 ,4.7 ,3.3 ,14.8 ,11.5 ,5.2 ,6.2 ,22.9 ,15.5 ,2.2 ,2.4 ,13.7 ,24.5 ,11.8 ,-24.8 ,12.9 ,42.2 ,22.5 ,-1.3 ,34.3 ,-39.0 ,34.7 ,7.3 ,1.6 ,18.9 ,-6.1 ,6.7 ,28.3 ,20.4 ,6.7 ,1.4 ,23.4 ,6.2 ,-10.7 ,9.7 ,16.4 ,8.6 ,63.1 ,69.4 ,-7.2 ,-10.4 ,4.1 ,23.8 ,14.4 ,3.3 ,-9.3 ,2.2 ,3.8 ,3.3 ,3.2 
,,2022年 1- 3月,,-8.8 ,-5.2 ,-6.7 ,-4.2 ,-11.0 ,-8.4 ,-2.7 ,1.3 ,-20.0 ,-14.1 ,-5.2 ,-10.8 ,-8.8 ,63.7 ,0.2 ,23.9 ,-19.1 ,-26.5 ,-18.7 ,3.4 ,-26.5 ,18.9 ,-11.5 ,-5.4 ,-5.5 ,29.2 ,18.7 ,-4.8 ,-10.3 ,0.7 ,0.0 ,0.2 ,-36.5 ,-0.6 ,10.9 ,-2.9 ,11.4 ,-11.2 ,-35.3 ,-38.4 ,-4.9 ,-6.8 ,-5.1 ,-8.7 ,-11.9 ,8.4 ,-4.0 ,-2.5 ,-2.8 ,3.7 ,3.6 
,,          4- 6月,,16.6 ,11.2 ,22.6 ,4.0 ,9.5 ,9.1 ,6.7 ,5.7 ,11.4 ,9.9 ,6.9 ,10.4 ,8.3 ,-24.3 ,60.9 ,-26.6 ,19.8 ,-10.2 ,15.5 ,-16.5 ,12.7 ,-1.4 ,29.5 ,-2.9 ,33.0 ,-51.7 ,5.6 ,11.2 ,-3.6 ,-4.4 ,18.7 ,17.7 ,72.0 ,16.5 ,10.1 ,3.7 ,-4.9 ,15.7 ,19.3 ,6.1 ,-2.3 ,22.7 ,8.3 ,2.1 ,1.7 ,-3.0 ,9.3 ,3.5 ,4.3 ,5.9 ,5.0 
,,          7- 9月,,-9.3 ,-7.0 ,-12.8 ,-8.4 ,-1.9 ,-2.6 ,-1.6 ,-2.8 ,-1.4 ,-2.7 ,-0.4 ,-3.7 ,-5.0 ,15.8 ,-49.0 ,-14.4 ,4.4 ,-4.0 ,-9.6 ,25.6 ,25.6 ,12.5 ,-5.3 ,4.9 ,-13.8 ,241.9 ,-19.3 ,-2.1 ,-2.4 ,-9.7 ,-3.2 ,1.6 ,-25.2 ,0.3 ,-2.2 ,-11.9 ,-6.0 ,-21.5 ,-15.3 ,49.0 ,15.0 ,-8.9 ,5.3 ,35.1 ,-0.4 ,0.5 ,-3.1 ,4.4 ,1.9 ,2.2 ,2.4 
,,        10- 12月,,-1.0 ,-3.4 ,2.4 ,-3.6 ,-8.3 ,-7.4 ,-4.7 ,-10.6 ,-4.5 ,-3.5 ,2.1 ,1.4 ,-6.8 ,-42.5 ,11.6 ,28.0 ,-0.6 ,-4.4 ,19.9 ,-25.3 ,-28.5 ,-24.8 ,-7.6 ,-18.2 ,9.7 ,-47.8 ,2.4 ,-11.5 ,1.1 ,-13.7 ,-11.0 ,-8.4 ,-19.0 ,-8.4 ,-16.4 ,16.3 ,129.6 ,13.7 ,-16.4 ,-34.8 ,-15.5 ,6.2 ,2.4 ,-22.0 ,10.0 ,4.6 ,-2.5 ,2.4 ,4.4 ,1.5 ,1.3 
,,2023年 1- 3月,,-8.7 ,-6.8 ,-21.4 ,19.9 ,7.1 ,6.2 ,2.6 ,1.9 ,9.7 ,9.2 ,3.2 ,0.1 ,10.9 ,-11.7 ,25.8 ,13.1 ,-28.3 ,73.5 ,-12.2 ,-5.6 ,10.0 ,6.9 ,36.4 ,31.7 ,-11.9 ,32.0 ,-0.2 ,7.8 ,-3.6 ,-10.8 ,-21.5 ,-0.5 ,67.5 ,-13.5 ,19.3 ,5.5 ,-52.1 ,30.8 ,27.8 ,29.2 ,28.9 ,-9.7 ,-6.3 ,17.4 ,-2.7 ,-0.5 ,-0.0 ,-6.0 ,-6.4 ,-0.7 ,-1.6 
